STT,Mã ngành,Tên ngành,Tổ hợp môn,Điểm chuẩn,Ghi chú
1,7520207,Kỹ thuật Điện tử viễn thông,A00;A01,25.65,TTNV = 1
2,7510301,"Công nghệ kỹ thuật Điện, điện tử",A00;A01,25.35,TTNV <= 7
3,7480201,Công nghệ thông tin,A00;A01,26.9,TTNV = 1
4,7480202,An toàn thông tin,A00;A01,26.55,TTNV <= 5
5,7329001,Công nghệ đa phương tiện,A00;A01;D01,26.35,TTNV <= 2
6,7320104,Truyền thông đa phương tiện,A00;A01;D01,26.55,TTNV <= 6
7,7340101,Quản trị kinh doanh,A00;A01;D01,25.9,TTNV <= 4
8,7340122,Thương mại điện tử,A00;A01;D01,26.5,TTNV <= 4
9,7340115,Marketing,A00;A01;D01,26.45,TTNV <= 3
10,7340301,Kế toán,A00;A01;D01,25.75,TTNV <= 2
11,7340208,Công nghệ Tài chính,A00;A01;D01,25.9,TTNV <= 9
